Version;Discrimina;ZoneID;ZoneName;LengthM;SiteCode;DateStart;DateFinish;AssessorCo;ZoneDescription;Comments;Comments2;TravelDirection;RoadType;RCACConsValue;FieldRating;RCACScore;HabitatScore;RoadWidthM;LRoadWidth;RRoadWidth;WidthVarie;RCACWidth;RCACTreesW;RCACTreesS;RCACGround;RCACGrassl;RCACLeafLi;RCACLogs;RCACRocksC;RCACWetlan;RCACMaxFau;RCACRegene;RCACWildli;RCACWeedCo;RCACSiteDi;RCACRareSp;HollowTree;LargeOldTree;Trees;LogsWoodyD;GroundFlor;Mistletoe;Shrubs;NonWeedySi;BioticSoil;LeafMulchL;Rocks;CracksCrev;Wetland;Disturbanc;Regenerati;Weeds;Powerline;BiomassRed;AdjoiningL;AdjoiningV;PowerlineD;CanopyCont;OverallFue;GroundFuel;ElevatedFu;BarkHazard;Majorweeds;Bioregion;Locality;LandFormLS;LandForm00;TypicalGeo;SoilType;EVCCode;EVCNotes;EVCSource;ManPrescri;Origin;LGA;ID;Recommenda;DescID;RCACScoreI;WKT_Geometry
0;line;51485;bothe place;304.000.000.000.000.000;g255;17/09/2014;17/09/2014;519;cleared with occasional trees and/or shrubs;;;e;;low;low;6;0;4;n/a;0-5;1;1;1.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;4.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;1;16;0;29;0;0;0;0;0;0;0;0;1;2;1;0;289;;i+e;;sparse;;;;;;;;;;0;;286;20/22;survey;286l.pdf;;golden plains;eo-519;;2;6;linestring (143.723295261631 -37.5944273912709,143.724092777014 -37.5945823981073,143.724490214125 -37.594723488909,143.725336805425 -37.5948311370538,143.72625027886 -37.5949776837372,143.726357156036 -37.5951197184362,143.726238237784 -37.5952438193467)
0;line;51486;taemore close;1.227.000.000.000.000.000;g310;17/09/2014;17/09/2014;519;cleared with occasional trees and/or shrubs;;;s;;low;low;4;0;4;0-5;n/a;1;1;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;29;0;0;0;0;0;0;0;0;1;2;1;0;298;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;2;4;linestring (143.721599126062 -37.5925677021839,143.72294535652 -37.5927778922781,143.722970921321 -37.593233160792,143.72298148318 -37.593397332391,143.723439892481 -37.5934233247922,143.723383759543 -37.5943857079112,143.723218206415 -37.5946932261294,143.722785064326 -37.5951888150196,143.722313699735 -37.5963266398783,143.721866669185 -37.5975969651631,143.721834361468 -37.5979351902619,143.722119569821 -37.5982147354773,143.72268550286 -37.5983305913783,143.724792391523 -37.598615628361,143.725493433999 -37.5987051957284,143.726788843241 -37.5982390335114)
0;line;51487;taemore close;1.307.000.000.000.000.000;g310;17/09/2014;17/09/2014;519;cleared under powerlines;;;n;;low;low;4;0;4;n/a;0-5;1;1;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;29;0;0;0;0;0;0;0;0;1;2;1;1;298;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;10;4;linestring (143.721551734036 -37.5926201474652,143.722738499521 -37.5928232986999,143.72269291998 -37.5935529140886,143.723204311211 -37.5935901168,143.723091006655 -37.5943931882558,143.722436107123 -37.595048130937,143.721944481994 -37.5961375028715,143.721409459933 -37.597502110112,143.721361609442 -37.5979724963605,143.72171272806 -37.5984488111596,143.722214399374 -37.5986641708842,143.725545092296 -37.5991123823117,143.727000593614 -37.5985778328018)
0;line;51488;station street;405.000.000.000.000.000;g305;17/09/2014;17/09/2014;519;cleared with occasional trees and/or shrubs;;roadside only scores hcv due to listed species presence, otherwise mcv;ne;;very high (medium base score);medium;25;48;4;0-5;n/a;1;1;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;15.000.000.000.000.000;0;1;16;0;29;0;23;0;0;0;0;0;0;2;2;2;1;289;;e;;sparse;;;;;;;;;;0;;286;20/22;survey;286h.pdf;;golden plains;eo-519;;2;10;linestring (143.721581763993 -37.5924141378305,143.722715459715 -37.5926113967857,143.72430529939 -37.5913902628374,143.724796933439 -37.5910015161976,143.725314951342 -37.591051890335)
0;line;51489;station street;390.000.000.000.000.000;g305;17/09/2014;17/09/2014;519;cleared with occasional trees and/or shrubs;;;sw;;medium;medium;10;32;4;n/a;0-5;1;1;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;1;16;0;29;0;23;0;0;0;0;0;0;2;2;2;1;289;;e;;sparse;;;;;;;;;;0;;286;20/22;survey;286m.pdf;;golden plains;eo-519;;2;10;linestring (143.725197996776 -37.59128342294,143.724852893514 -37.5912479726462,143.72409835625 -37.5918325228994,143.722932615685 -37.592746024059,143.721579755044 -37.5925358066213)
0;line;51490;taylors road (haddon);194.000.000.000.000.000;g112;17/09/2014;17/09/2014;519;pasture grasses and weeds;;;w;;low;low;2;0;4;0-5;n/a;0;1;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;28;0;0;0;0;0;0;0;0;1;1;1;0;298;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;18;2;linestring (143.719280842593 -37.5924318043245,143.72084082387 -37.5925860988928,143.721472306874 -37.5925981061996)
0;line;51491;taylors road (haddon);194.000.000.000.000.000;g112;17/09/2014;17/09/2014;519;pasture grasses and weeds;;;e;;low;low;2;0;4;n/a;0-5;0;1;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;28;0;0;0;0;0;0;0;0;1;1;1;0;298;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;18;2;linestring (143.719317779176 -37.5922152754909,143.720870686617 -37.5923959492292,143.721502423399 -37.5923867792328)
0;line;51492;nintingbool road;368.000.000.000.000.000;g094;17/09/2014;17/09/2014;519;woodland with weedy grassy understorey;;roadside only scores hcv due to listed species presence, otherwise mcv;n;;very high (medium base score);medium;25;48;4;n/a;n/a;1;0;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;1.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;15.000.000.000.000.000;0;0;18;0;29;0;23;0;1;1;0;0;0;2;2;2;0;289;;i+e;;patchy;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;34;10;linestring (143.715419615261 -37.6068008654611,143.716307479659 -37.6046668917824,143.717612886028 -37.6049454673903)
0;line;51493;nintingbool road;1.593.000.000.000.000.000;g094;17/09/2014;17/09/2014;519;woodland with patchy native grass understorey;;hcv roadside converted to very high status due to listed species presence;e;;very high (high base score);high;31;64;20;20+;n/a;0;3;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;1.000.000.000.000.000;4.000.000.000.000.000;15.000.000.000.000.000;0;1;18;1;29;0;23;0;2;2;0;0;0;3;2;2;0;300;;i+e;;patchy;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;32;16;linestring (143.717665871251 -37.6049565887856,143.729359371402 -37.6071977139769,143.734430653343 -37.6097645616227)
0;line;51494;nintingbool road;501.000.000.000.000.000;g094;17/09/2014;17/09/2014;519;woodland with patchy native grass understorey;;roadside only scores hcv due to listed species presence, otherwise mcv;w;;very high (medium base score);medium;28;54;20;n/a;20+;0;3;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;15.000.000.000.000.000;0;1;18;1;29;0;23;0;1;1;0;0;0;2;2;1;0;300;;i+e;;patchy;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;32;13;linestring (143.733344121139 -37.6099118235794,143.729164216024 -37.6077326826823,143.728507976325 -37.6076013812476)
